"","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA1.13_AD1.13_DA0_DD1.13_epoch1651144352","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A10_D0_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A7.5_D2.5_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A5_D5_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A2.5_D7.5_AA0_AD0_DA0_DD0_epoch1651155913","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A0_D10_AA0_AD0_DA0_DD0_epoch1651173856","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA3.4_AD0_DA0_DD0_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA0_AD3.4_DA0_DD0_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA0_AD0_DA0_DD3.4_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA1.13_AD1.13_DA0_DD1.13_epoch1651183589"
"sample_80",72.0438951984284,-193.245600940877,-297.089320163125,-430.971390024974,209.585300735701,-171.448135861577,56.4875145024016,-26.3484613419116,-93.5133123190386,-40.4694748647536
"sample_984",36.5034501227764,142.297914504332,-30.7168574926218,-165.379147191403,210.221634812109,222.77996477358,-32.1176433408415,80.5322177103479,-76.5582165846776,-72.2622456755132
"sample_678",21.4353030067025,-285.329799634582,-100.42296882001,-192.673500181296,188.364317684792,-110.103933219657,-12.4687400866421,205.909935685443,-112.603701687161,-144.530558008253
"sample_491",150.300153715911,-334.095746743833,-236.108370543534,-330.628351209649,58.2063393626584,-232.043195510689,34.225323744075,-113.734287561604,-34.2869173332207,-51.3003338193676
"sample_611",46.1704005640603,-393.255034146516,-302.895002796295,-309.657782357428,95.2664076370773,-277.817026232959,158.743988721873,69.9401056982311,-15.8751129262848,-298.783847225513
"sample_161",0.87566513660019,-109.640343872119,-171.03246602885,-573.241137094775,27.5642063486488,-108.915818640156,7.14286950653984,139.74671553489,-235.383038306194,-173.003849076653
"sample_91",-29.2611022930327,-43.0367480628159,-117.604033548906,-41.4396401806351,32.3269670453376,-52.0995817765983,30.9314428629103,-220.40004533855,-168.468119368899,-230.168020115217
"sample_351",144.829386322867,-246.269370382555,-292.650131087579,-182.500459051038,148.343665010549,-46.4317941782593,-45.3685646973962,54.2151959585302,27.8333365743903,-274.566791986412
"sample_508",181.829897630369,309.73665627852,-361.529642777174,-426.3497871448,226.362527117095,82.821591158594,24.7488504901331,-20.3761383602298,-86.3892856816404,-10.0340076071523
"sample_68",149.680834080997,56.9068559880763,-240.39357000024,-133.273443427354,84.2767714942473,84.1781433734596,-154.081915805207,26.9692195637666,28.0505678834324,12.3408624776106
