"","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A100_D0_AA0_AD0_DA0_DD0_epoch1649239502","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A75_D25_AA0_AD0_DA0_DD0_epoch1649239502","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A50_D50_AA0_AD0_DA0_DD0_epoch1649240345","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A25_D75_AA0_AD0_DA0_DD0_epoch1649240345","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A0_D100_AA0_AD0_DA0_DD0_epoch1649240989","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA34_AD0_DA0_DD0_epoch1649241541","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD34_DA0_DD0_epoch1649241541","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD0_DA34_DD0_epoch1649242513","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD0_DA0_DD34_epoch1649242513","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA8.5_AD8.5_DA8.5_DD8.5_epoch1649246514"
"sample_5",3928.41284131567,3748.71797300899,957.765217238341,-10.4947065283419,1785.8775222886,528.645931634123,64.8560549466002,629.551627993441,-56.2570629053834,1583.00980022156
"sample_282",5511.57407272841,2439.4411842666,888.1534889597,268.847221388512,-1138.62344751783,1240.25549334303,-139.4335310137,-554.45953562283,-166.156235073448,1329.59906569258
"sample_80",486.646184273145,504.87640374297,2768.64278984645,-425.062974132111,-1782.16607637013,1950.45736334771,533.399832337465,-671.284684873028,436.549782735769,1901.9212321564
"sample_984",3767.39683047205,2035.87048546283,1483.19312543786,1076.87012351266,-2402.32401611989,1030.4734660816,-7.54951591911436,1061.47565493607,260.88362293051,2605.80153764552
"sample_678",1939.0006363044,-127.408173294321,416.675889314327,2125.93883371,-817.216444729455,-740.343633541872,1522.73401764209,39.8840179338274,1105.97597025004,700.375442760137
"sample_491",-920.279299995532,199.636916526154,972.975506917424,1347.34990804154,1821.21704731074,1382.67670946823,1419.54952478073,743.090562107177,1079.03657505156,2205.1103434735
"sample_611",1024.48372564347,-1289.46922710476,-412.048396911698,-2752.36348142996,1434.4035286361,983.405596606483,-660.455606187748,-1162.93534058303,-227.743793641597,9.49749691157291
"sample_161",2105.90869801138,-396.055608163201,1000.36754049535,1550.79179485866,-871.205224466697,-105.230723566244,1107.7543259444,616.797991421928,765.889758643296,1656.17329078234
"sample_91",2129.87964878537,375.432149364317,221.845444326439,714.442122973752,-551.028034160697,792.246190158914,1103.71634428333,1549.00135351131,548.625557077011,1011.80849466192
"sample_351",2279.86095075611,4260.2242368735,-1683.69359641655,315.59051824159,-1416.00417684225,552.348935055628,1142.1245495091,-423.722323293483,1328.66867249561,-105.528912835515
"sample_508",-2614.64799200716,1274.15674345483,3066.80318321303,-1387.2413821989,-361.732088207886,755.971188077376,1577.67909582424,-999.869364534367,1230.78357743281,-35.1038862598546
"sample_68",410.999068919251,1533.52444891983,59.3474492887495,1381.60637247052,-456.325499539008,-73.8286376867726,226.717716001911,65.3199557509531,-1055.94066824091,-1110.82321368431
"sample_724",2980.98274864354,704.344718865544,619.209650456185,-1207.75635639261,-2183.01805422884,-749.727265937629,440.426490139721,83.0109708166975,399.545902148815,-293.180142008645
"sample_194",1213.00656311381,-2635.61905202799,3320.61551721382,-801.614708655746,-4000.2030574492,84.5850164730098,925.204194119592,-11.6574106449691,1313.93255249161,1853.62654773914
"sample_304",966.053255320097,-859.774420446979,752.306414855144,216.359637127406,2050.5765848044,2074.2131846546,84.1646023757844,891.473662446585,-985.588155348446,1488.31208231973
"sample_815",-1095.92468945109,462.893090763071,2125.99396440731,-192.05492995864,-761.905954455502,372.168912003573,1051.30177397328,38.0595270608524,-336.22991026736,1249.33372171103
"sample_795",740.972467773798,-1853.69173960843,386.626143235903,-2725.42812641489,-335.856450635275,1173.89933782018,425.798845422686,1708.09822844581,1177.52827639495,-285.853007693897
"sample_606",-552.548553772209,-1130.10560021619,2732.73475425408,-29.6140176379833,424.943133174449,-676.895606882495,-1457.88850088004,678.538504741641,1452.61824045893,1579.37968468483
"sample_591",2121.39786621896,350.079879011768,3011.47239438765,345.709524870298,-3455.54010913055,49.491684700306,-452.846450551286,559.086651876321,756.168232970613,1191.29583866049
"sample_701",-1442.49819909432,-1231.12910644759,1582.67320029742,646.764924093796,-1219.5603175596,356.626960302779,-186.410238791728,-541.588688657212,1029.69274926466,952.326622450209
